 Advanced Settings,Paramètres avancés,
 Allow in Quick Entry ,Autoriser dans les écritures rapides,
 by Role ,par Rôle,
 for {0},pour {0},
 to your browser,dans votre navigateur,
"""Company History""","""Historique de la Société""",
"""Parent"" signifies the parent table in which this row must be added","""Parent"" indique la table parent dans laquelle cette ligne doit être ajouté",
"""Team Members"" or ""Management""","""Membres de l'Équipe"" ou ""Management""",
"""amended_from"" field must be present to do an amendment.","Le champs ""amended_from"" doit être présent pour faire une modification",
"""{0}"" is not a valid Google Sheets URL","""{0}"" n'est pas une URL Google Sheets valide",
"%s is not a valid report format. Report format should \
				one of the following %s",%s n’est pas un format de rapport valide. Le format de Rapport devrait \ l'un des %s suivants,
&lt;head&gt; HTML,HTML,
'In Global Search' not allowed for type {0} in row {1},'Dans la Recherche Globale' n'est pas autorisé pour le type {0} dans la ligne {1},
'In List View' not allowed for type {0} in row {1},'Ajouter une colonne pour ce champ dans la vue en liste’ n'est pas permis pour le type {0} à la ligne {1},
'Recipients' not specified,'Destinataires' non spécifiés,
'{0}' not allowed for type {1} in row {2},'{0}' n'est pas autorisé pour le type de champ {1} à la ligne {2},
(Ctrl + G),(Ctrl + G),
(Mandatory),(Obligatoire),
** Failed: {0} to {1}: {2},** Échec: {0} à {1}: {2},
**Currency** Master,Données de Base **Devise**,
+ Add / Remove Fields,+ Ajouter / Supprimer un champ,
+ Add a Filter,+ Ajouter un filtre,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Brouillon; 1 - Soumis; 2 - Annulé,
0 is highest,0 est le plus élevé,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Devise = [?] Fraction 
E.g. 1 USD = 100 centimes",
1 Google Calendar Event synced.,1 événement Google Agenda synchronisé,
1 comment,1 commentaire,
1 hour ago,Il y a 1 heure,
1 minute ago,Il y a 1 minute,
1 month ago,Il y a 1 mois,
1 month,1 mois,
1 record will be exported,1 entrée sera exportée,
1 star being lowest & 5 stars being highest rating,1 étoile étant la pire note et 5 étoiles étant la meilleure note,
1 week ago,Il y a une semaine,
1 week,1 semaine,
1 weeks ago,Il y a 1 semaine,
1 year ago,Il y a 1 an,
1 year,1 ans,
2 days ago,Il y a 2 jours,
3 months,3 mois,
5 Records,5 entrées,
6 months,6 mois,
; not allowed in condition,; non autorisé dans la condition,
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<H4> Modèle par défaut </ h4> 
 <p> <a Utilise href=""http://jinja.pocoo.org/docs/templates/""> Jinja Templating </a> et tous les champs d'adresse ( y compris les champs personnalisés le cas échéant) sera disponible </ p> 
 <pre> <code> {{address_line1}} & lt; br & gt; 
 {% si address_line2%} {{address_line2}} & lt; br & gt; { % endif -%} 
 {{ville}} & lt; br & gt; 
 {% si l'état%} {{}} Etat & lt; br & gt; {% endif -%} {% if 
 code PIN%} PIN: {{code PIN}} & lt; br & gt; {% endif -%} 
 {{pays}} & lt; br & gt; 
 {% si le téléphone%} Téléphone: {{téléphone}} & lt; br & gt; { % endif -%} 
 {% if télécopieur%} Fax: {{fax}} & lt; br & gt; {% endif -%} 
 {% si email_id%} Email: {{email_id}} & lt; br & gt ; {% endif -%} 
 </ code> </ pre>",
<p>No results found for ',<p>Aucun résultat trouvé pour ',
> {0} year(s) ago,> {0} ans,
A Lead with this Email Address should exist,Un Prospect avec cette Adresse email devrait exister,
A chained seal will be calculated for all documents,Une chaîne scellée sera calculée pour tous les documents,
A featured post must have a cover image,Une publication mise en avant doit avoir une image de couverture,
A field with the name '{}' already exists in doctype {}.,Un champ avec le nom '{}' existe déjà dans le type de document {},
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Liste des ressources auxquelles l'application client aura accès.<br>Par exemple: projet,
A log of request errors,Un journal des erreurs de requête,
A new account has been created for you at {0},Un nouveau compte a été créé pour vous à {0},
A new document {0} has been shared by with you {1}.,Un nouveau document {0} a été partagé avec vous {1}.,
"A new task, {0}, has been assigned to you by {1}. {2}","Une nouvelle tâche, {0}, vous a été attribuée par {1}. {2}",
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Un {0} {1} récurrent a été créé pour vous via la répétition automatique {2},
A symbol for this currency. For e.g. $,Un symbole pour cette monnaie. Par exemple $,
A user who posts blogs.,Un utilisateur qui poste des articles de blog,
A word by itself is easy to guess.,Un mot unique est facile à deviner.,
A4,A4,
ALL,TOUS,
API Access,Accès API,
API Endpoint Args,Args de paramètres API,
API Endpoint,API Endpoint,
API Key cannot be  regenerated,La clé d'API ne peut pas être regénérée,
API Key,Clé API,
API Method,Méthode d'API,
API Password,Mot de passe API,
API Secret,Secret API,
API Username,Nom d'Utilisateur API,
API,API,
ASC,ASC,
About Us Settings,Paramétrages de la page 'À Propos',
About Us Team Member,À propos du Membre de l'équipe,
About Us,Qui sommes-nous ?,
About {0} minute remaining,Environ {0} minute restante,
About {0} minutes remaining,Environ {0} minutes restantes,
About {0} seconds remaining,Environ {0} secondes restantes,
About,À propos,
Accept Payment,Accepter des paiements,
Access Key ID,ID de Clé d'Accès,
Access Key Secret,Clé secrète d'accès,
Access Log,Journal d'accès,
Access Token URL,URL du jeton d'accès,
Access Token,Jeton d'Accès,
Access not allowed from this IP Address,L'accès n'est pas autorisé depuis cette adresse IP,
Access not permitted.<br>Please login.,Accès non autorisé.<br>Veuillez vous connecter.,
Accounts Manager,Responsable des Comptes,
Accounts User,Comptable,
Accounts,Comptes,
Action Failed,Échec de l'Action,
Action Settings,Paramètres d'action,
Action Timeout (Seconds),Délai d'attente de l'action (secondes),
Action Type,Type d'action,
Action,Action,
"Actions for workflow (e.g. Approve, Cancel).","Actions pour le flux de travail (par exemple Approuver, Annuler).",
Actions,Actions,
Activate the chat in system settings,Activer le chat dans les paramètres système,
Active Domains,Domaines Actifs,
Active Sessions,Sessions Actives,
Active,Actif,
Activity Log,Journal d'activité,
Activity log of all users.,Journal d'activité de tous les utilisateurs.,
Activity,Activité,
Add / Manage Email Accounts.,Ajouter / Gérer les Comptes de Messagerie.,
Add / Manage Email Domains.,Ajouter / Gérer les Noms de Domaines des Emails,
Add / Update,Ajouter / Mettre à jour,
Add A New Rule,Ajouter une Nouvelle Règle,
Add ,Ajouter,
Add Another Comment,Ajouter un Autre Commentaire,
Add Attachment,Ajouter une Pièce Jointe,
Add Blog Category,Ajouter une catégorie de blog,
Add Chart to Dashboard,Ajouter le graphique au tableau de bord,
Add Chart,Ajouter un graphique,
Add Child,Ajouter une Sous-Catégorie,
Add Column,Ajouter une Colonne,
Add Comment,Ajouter un Commentaire,
Add Contact,Ajouter un contact,
Add Contacts,Ajouter des contacts,
Add Container,Ajouter un contenant,
Add Custom Tags,Ajouter des tags personnalisés,
Add Fields,Ajouter des champs,
Add Filter By,Ajouter un filtre,
Add Filter,Ajouter un filtre,
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Ajouter l'ID de Google Analytics : e.g. UA-89XXX57-1. Veuillez chercher de l'aide sur Google Analytics pour plus d'informations.,
Add Gray Background,Ajouter un fond gris,
Add Group,Ajouter un groupe,
Add More Button,Button 'Ajouter plus',
Add More,Ajouter Plus,
Add Multiple,Ajout Multiple,
Add New Permission Rule,Ajouter une Nouvelle Règle d'Autorisation,
Add Padding,Ajouter du padding,
Add Participants,Ajouter des participants,
Add Review,Ajouter une revue,
Add Row,Ajouter une Ligne,
Add Signature,Ajouter une signature,
Add Space on Bottom,Ajouter de l'espace en bas,
Add Space on Top,Ajouter de l'espace en haut,
Add Subscribers,Ajouter des Abonnés,
Add Tags,Ajouter des tags,
Add Total Row,Ajouter une Ligne Totale,
Add Unsubscribe Link,Ajouter un lien de désinscription,
Add User Permissions,Ajouter des autorisations utilisateur,
Add a New Role,Ajouter un Nouveau Rôle,
Add a column,Ajouter une colonne,
Add a comment,Ajouter un commentaire,
Add a help video link just in case user has no idea about what to fill in the slide.,Ajoutez un lien vidéo au cas où l'utilisateur ne sait pas comment remplir la diapositive,
Add a new section,Ajouter une nouvelle section,
Add a table,Ajouter un tableau,
Add a tag ...,Ajouter une balise ...,
Add a variable,Ajouter une variable,
Add a widget,Ajouter un widget,
Add all roles,Ajouter tous les rôles,
Add code as &lt;script&gt;,Ajouter le code en tant que &lt;script&gt;,
Add comma separated keywords for SEO,Ajouter des mots clés séparés par une virgule pour la SEO,
Add custom field Auto Repeat in the doctype {0},Ajouter un champ personnalisé Répétition Automatique dans le doctype {0},
Add custom forms.,Ajouter des formulaires personnalisés.,
Add custom javascript to forms.,Ajouter du javascript aux formulaires.,
Add description for SEO. Max character length is 160.,Ajouter une description pour la SEO. 160 caractères maximum.,
Add fields to forms.,Ajouter des champs aux formulaires.,
Add italic text <cmd+i>,Ajouter un texte en italique <cmd+i>,
Add meta tags to your web pages,Ajouter des meta tags sur vos pages web,
Add script for Child Table,Ajouter un script pour une table enfant,
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Ajouter le nom d'une ""Google Web Font"" e.g. ""Open Sans""",
Add to Dashboard,Ajouter au tableau de bord,
Add to To Do,Ajouter à la Liste des Tâches,
Add to ToDo,Ajouter à la ToDo,
Add to table,Ajouter au tableau,
Add your own Tag Categories,Ajoutez vos propres catégories de balises,
Add your own translations,Ajoutez vos propres traductions,
Add,Ajouter,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML ajouté dans la section   de la page web, utilisé principalement pour la vérification de site et le référencement",
Added {0} ({1}),Ajouté {0} ({1}),
Added {0},Ajouté {0},
Adding System Manager to this User as there must be atleast one System Manager,Ajout du rôle Responsable Système pour cet Utilisateur car il doit y avoir au moins un Responsable Système,
Additional Permissions,Autorisations Supplémentaires,
Address And Contacts,Adresse et contacts,
Address Line 1,Adresse Ligne 1,
Address Line 2,Adresse Ligne 2,
Address Template,Modèle d'adresse,
Address Title is mandatory.,Le Titre de l'Adresse est obligatoire.,
Address Title,Titre de l'Adresse,
Address Type,Type d'Adresse,
Address and other legal information you may want to put in the footer.,Adresse et autres informations juridiques que vous voudriez mettre dans le pied de page.,
Address,Adresse,
Addresses And Contacts,Adresses et contacts,
Addresses,Adresses,
Adds a client custom script to a DocType,Ajoute un script personnalisé à un type de document,
Adds a custom field to a DocType,Ajoute un champ personnalisé à un type de document,
Adds a custom script (client or server) to a DocType,Ajoute d'un script personnalisé (client ou serveur) à un DocType,
Admin,Admin,
Administration,Administration,
